Customer_ID,Age,Gender,Nationality_Type,Loyalty_Member
CUST0001,23.0,Male,Expat,Yes
CUST0002,34.0,Male,Expat,No
CUST0003,27.0,Female,Expat,Yes
CUST0004,27.0,Female,Expat,No
CUST0005,38.0,Male,Expat,Yes
CUST0006,19.0,Female,Expat,Yes
CUST0007,26.0,Female,Expat,No
CUST0008,36.0,Female,Expat,Yes
CUST0009,27.0,Female,Expat,Yes
CUST0010,39.0,Male,Expat,No
CUST0011,27.0,Male,Expat,No
CUST0012,31.0,Male,Expat,No
CUST0013,54.0,Female,Expat,Yes
CUST0014,41.0,Male,UAE National,No
CUST0015,33.0,Male,UAE National,No
CUST0016,39.0,Male,Expat,Yes
CUST0017,23.0,Male,Expat,Yes
CUST0018,19.0,Male,Expat,Yes
CUST0019,22.0,Male,Expat,No
CUST0020,33.0,Female,Expat,No
CUST0021,36.0,Female,Expat,No
CUST0022,39.0,Male,Expat,Yes
CUST0023,19.0,Female,Expat,Yes
CUST0024,40.0,Female,Expat,Yes
CUST0025,38.0,Female,Expat,No
CUST0026,34.0,Male,Expat,No
CUST0027,,Male,Expat,No
CUST0028,58.0,Male,Expat,No
CUST0029,24.0,Male,Expat,Yes
CUST0030,20.0,Male,Expat,No
CUST0031,40.0,Female,UAE National,Yes
CUST0032,25.0,Female,Expat,Yes
CUST0033,37.0,Female,Expat,Yes
CUST0034,36.0,Male,UAE National,No
CUST0035,41.0,Female,Expat,Yes
CUST0036,42.0,Male,UAE National,No
CUST0037,33.0,Male,Expat,Yes
CUST0038,42.0,Male,Expat,No
CUST0039,29.0,Male,Expat,No
CUST0040,28.0,Male,Expat,Yes
CUST0041,29.0,Male,UAE National,Yes
CUST0042,24.0,Female,Expat,No
CUST0043,43.0,Female,UAE National,Yes
CUST0044,23.0,Male,Expat,Yes
CUST0045,24.0,Female,Expat,No
CUST0046,35.0,Male,Expat,Yes
CUST0047,,Male,Expat,No
CUST0048,29.0,Female,UAE National,Yes
CUST0049,25.0,Female,Expat,No
CUST0050,38.0,Female,Expat,No
CUST0051,24.0,Male,Expat,No
CUST0052,32.0,Male,Expat,Yes
CUST0053,45.0,Female,Expat,Yes
